Id,Label,timeset, char_name, char_desc,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
1,'Homer Simpson',,'Homer Simpson','Homer Jay Simpson is the patriarch of the eponymous family. He is voiced by Dan Castellaneta. As the family\'s provider,592,4188,2,0.969841,0.984452,0.258757,1,0.044435,0,0.034047,5956,1,0.247324,0.247318
2,'Marge Simpson',,'Marge Simpson',"'Marjorie \""Marge\"" Simpson is is the well-meaning and extremely patient matriarch of the Simpson family. She is voiced by Julie Kavner. With her husband Homer",529,3746,2,0.881674,0.932897,0.176902,1,0.039142,0,0.03964,5536,0.939418,0.23347,0.233465
3,'Bart Simpson',,'Bart Simpson',"'Bartholomew JoJo \""Bart\"" Simpson is voiced by actress Nancy Cartwright. At ten years old",530,3825,2,0.882948,0.933715,0.175696,1,0.038875,0,0.039954,5601,0.944944,0.234909,0.234904
4,'Lisa Simpson',,'Lisa Simpson','Lisa Marie Simpson is voiced by Yeardley Smith. At eight years old,507,3564,2,0.854545,0.914894,0.154722,1,0.036986,0,0.042597,5464,0.923175,0.230027,0.230022
5,'Maggie Simpson',,'Maggie Simpson',"'Margaret \""Maggie\"" Simpson is the youngest child of Marge and Homer",190,1065,2,0.592054,0.655483,0.013137,1,0.012814,0,0.150543,2703,0.517352,0.133235,0.133233
6,'Akira',,'Akira','Akira,26,35,3,0.510017,0.520731,0.000045,0,0.001775,0,0.784615,255,0.158315,0.040986,0.040986
7,'Ms. Albright',,'Ms. Albright',"'Ms. Albright is voiced by Tress MacNeille. She is the First Church of Springfield Sunday school teacher. She first appeared in \""The Telltale Head\"". She speaks with a soft Southern accent. She appears to be good friends with Helen Lovejoy. She is occasionally seen in the background of various episodes as well as in church scenes.'",10,10,3,0.502467,0.507092,0,0,0.000819,0,1,45,0.074312,0.018906,0.018906
8,'Dolph Starbeam',,'Dolph Starbeam','Dolph Starbeam,88,383,2,0.538801,0.572013,0.001288,0,0.005498,0,0.415361,1590,0.360842,0.094817,0.094817
9,'Jimbo Jones',,'Jimbo Jones',"'Corky James \""Jimbo\"" Jones",104,472,2,0.546512,0.585106,0.002086,0,0.006471,0,0.355302,1903,0.397226,0.104333,0.104333
10,'Kearney Zzyzwicz',,'Kearney Zzyzwicz','Kearney Zzyzwicz,92,378,2,0.540708,0.575286,0.001486,0,0.00574,0,0.39226,1642,0.366251,0.096202,0.096202
